ImageId,ClassId,ClassCount,ClassIds
ff6e35e0a.jpg_5,1,2,"[1, 2]"
ff6e35e0a.jpg_5,2,2,"[1, 2]"
ff6bfada2.jpg_4,3,2,"[3, 4]"
ff6bfada2.jpg_4,4,2,"[3, 4]"
ff6bfada2.jpg_2,3,2,"[3, 4]"
ff6bfada2.jpg_2,4,2,"[3, 4]"
fe2234ba6.jpg_2,1,2,"[1, 3]"
fe2234ba6.jpg_2,3,2,"[1, 3]"
fdb7c0397.jpg_4,3,2,"[3, 4]"
fdb7c0397.jpg_4,4,2,"[3, 4]"
fd26ab9ad.jpg_3,3,2,"[3, 4]"
fd26ab9ad.jpg_3,4,2,"[3, 4]"
fc2d2d29e.jpg_5,1,2,"[1, 3]"
fc2d2d29e.jpg_5,3,2,"[1, 3]"
fbc97ac61.jpg_5,1,2,"[1, 2]"
fbc97ac61.jpg_5,2,2,"[1, 2]"
fb9a07c8f.jpg_2,1,2,"[1, 2]"
fb9a07c8f.jpg_2,2,2,"[1, 2]"
fb9558035.jpg_3,3,2,"[3, 4]"
fb9558035.jpg_3,4,2,"[3, 4]"
fb9558035.jpg_2,3,2,"[3, 4]"
fb9558035.jpg_2,4,2,"[3, 4]"
fad2dd8ee.jpg_5,2,2,"[2, 3]"
fad2dd8ee.jpg_5,3,2,"[2, 3]"
fa3a68a38.jpg_5,1,2,"[1, 2]"
fa3a68a38.jpg_5,2,2,"[1, 2]"
f9d0f27a0.jpg_2,3,2,"[3, 4]"
f9d0f27a0.jpg_2,4,2,"[3, 4]"
f9668c7cd.jpg_5,2,2,"[2, 3]"
f9668c7cd.jpg_5,3,2,"[2, 3]"
f88d122b9.jpg_5,3,2,"[3, 4]"
f88d122b9.jpg_5,4,2,"[3, 4]"
f618df512.jpg_5,1,2,"[1, 2]"
f618df512.jpg_5,2,2,"[1, 2]"
f5b50a959.jpg_3,1,2,"[1, 3]"
f5b50a959.jpg_3,3,2,"[1, 3]"
f3a9b7ad1.jpg_2,1,2,"[1, 3]"
